159	"admittance"	6.29	1.23	21	3.6	1.5	20
160	"ado"	4.82	0.96	22	3.33	2.24	21
161	"adobe"	5.25	1.83	20	3.89	2.32	18
162	"adolescence"	6	1.65	20	5.1	2.53	21
163	"adolescent"	5.38	1.91	21	4.2	2.67	20
164	"adopt"	6.9	1.61	21	4.71	2.18	24
165	"adoption"	6.68	1.92	19	4.82	2.44	22
166	"adoptive"	5.67	1.39	21	4.4	2.14	25
167	"adorable"	7.4	1.6	20	4.66	2.79	38
168	"adoration"	6.47	2.06	19	4.36	2.28	22
169	"adore"	7.37	1.38	19	5.96	2.33	23
170	"adoring"	7.38	1.32	21	4.86	2.65	21
171	"adrenalin"	6.33	1.91	21	5.05	3.03	22
172	"adrenaline"	6.61	2.03	18	5.95	2.58	20
173	"adrift"	4.36	1.6	25	3.19	1.78	21
174	"adult"	5.9	2.1	42	4.36	2.5	22
175	"adulterer"	2.77	1.97	22	5.68	2.85	22
176	"adultery"	2.81	2.06	21	6.42	2.48	19
177	"adulthood"	5.05	2.09	21	4.28	2.53	25
178	"advance"	6.11	2	18	4.62	2.54	21
179	"advanced"	6.14	1.42	21	3.83	2.06	23
180	"advancement"	7.47	1.54	19	5.81	2.04	21
181	"advantage"	6.71	1.62	21	3.95	2.36	22
182	"advantageous"	6.79	1.4	19	5.7	2.08	20
183	"adventure"	7.4	1.78	42	6.36	2.4	42
184	"adventurer"	7	1.76	21	5.27	2.9	22
185	"adventurous"	7.37	1.01	19	6.67	2.06	18
186	"adversary"	4.55	2.11	20	4.41	2.04	22
187	"adverse"	3.68	1	19	3.89	2.22	18
188	"adversity"	4.26	2.47	19	3.82	2.61	22
189	"advertise"	5.16	1.68	19	4.29	2.31	21
190	"advertisement"	4.3	1.49	20	4.14	2.46	22
191	"advertising"	4.68	2.19	19	3.25	2.02	20
192	"advice"	5.78	1.99	18	3.05	2.38	21
193	"advisable"	5.62	1.66	21	4.36	2.19	22
194	"advise"	5.44	1.39	25	3.38	2.27	21
195	"advisement"	4.55	1.53	22	4.04	2.36	26
196	"adviser"	5.68	2.11	19	3.36	1.71	22
197	"advisor"	4.74	1.45	19	3.19	1.63	21
198	"advisory"	4.95	1.5	21	4.05	2.19	22
199	"advocate"	5.25	1.48	20	4.59	2.06	22
200	"aerial"	6.04	1.4	23	3.67	2.2	21
201	"aerobics"	6	1.11	19	5.1	2.17	21
202	"aerodynamic"	6.16	1.38	19	4.33	2.24	21
203	"aerospace"	5.79	1.69	19	4.52	2.29	21
204	"aesthetic"	5.43	1.54	21	2.88	2.21	24
205	"affair"	3.1	2.53	21	5.4	2.46	20
206	"affect"	5.65	1.23	20	3.61	2.23	23
207	"affection"	7.89	1.05	19	5.64	2.63	22
208	"affectionate"	7.23	1.77	22	4.77	2.65	22
209	"affidavit"	4.38	1.2	21	3.73	2.43	22
210	"affiliation"	5.32	0.99	22	3.9	1.97	21
211	"affinity"	5.86	1.32	22	4.29	2.33	21
212	"affirmation"	5.95	2.37	20	3.95	1.67	20
213	"affirmative"	5.94	2.04	18	3.64	2.13	22
214	"affliction"	3.76	1.92	21	5.1	2.25	20
215	"afford"	6.56	2.09	18	4.33	2.82	21
216	"affordable"	7.52	1.44	21	4.11	2.28	19
217	"affront"	4.53	1.17	19	4.5	2.46	20
218	"afire"	6.05	1.36	20	5.41	2.48	22
219	"afloat"	5.57	1.33	21	4.13	2.24	23
220	"aforementioned"	5.21	1.96	19	3.5	2.24	22
221	"afraid"	2.25	1.16	20	5.12	2.57	42
222	"african"	6.42	1.74	19	4.11	2.28	19
223	"afterlife"	5.53	2.52	19	4.32	2.9	22
224	"aftermath"	4.29	1.82	21	5.38	2.46	21
225	"afternoon"	6.68	1.43	22	3.48	2.09	21
226	"aftershave"	5.55	1.57	20	3.5	2.44	22
227	"age"	5.78	1.93	18	3.71	2.59	21
228	"agency"	5.14	1.46	21	3.17	1.97	23
229	"agenda"	5.05	2.01	21	3.62	2.26	24
230	"agent"	5.23	1.95	22	3.43	2.13	21
231	"aggravate"	2.55	1.19	20	5.9	2.19	21
232	"aggravation"	2.48	1.12	21	5.35	2.81	20
233	"aggression"	3.18	2.02	22	5.69	2.49	26
234	"aggressive"	3.08	1.5	37	5.87	2.53	23
235	"aggressiveness"	3.58	2.12	19	6.43	2.11	23
236	"aggressor"	2.8	1.01	20	6.55	1.57	20
237	"agile"	5.95	2.2	19	4.95	2.01	22
238	"agility"	6.55	1.19	20	4.21	2.29	42
239	"aging"	3	1.41	18	3.8	2.88	20
240	"agitate"	3.36	1.68	22	5.82	2.52	22
